Texture ../data/textures/char1.png(1ms).
mode: client
name: Linko
ip: 127.0.0.1
port: 25
protocol: udp

connecting...
Texture ../data/textures/wall.jpg(3ms).
Texture ../data/textures/fire.jpg(5ms).
Texture ../data/textures/rock.png(28ms).
1 sending socket type 1, 0: -33.3333, 1: -33.3333, 2: 20, 3: 0
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 3, 0: -0.998699, 1: -36.0164, 2: 47.744, 3: -0.45552
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -0.998699, 1: -37.0732, 2: 50.2501, 3: 135.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -0.998699, 1: -37.1513, 2: 51.1801, 3: 131.7
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -0.998699, 1: -37.2283, 2: 52.2801, 3: 128.5
received socket type 1, 0: -0.998699, 1: -37.2678, 2: 53.0001, 3: 126.9
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -0.998699, 1: -37.2999, 2: 53.8201, 3: 125.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -1.07155, 1: -37.3123, 2: 54.4801, 3: 121.9
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -1.19571, 1: -37.3094, 2: 54.8701, 3: 117.5
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -1.42579, 1: -37.2883, 2: 55.2501, 3: 112.7
received socket type 1, 0: -1.63313, 1: -37.2605, 2: 55.4301, 3: 109
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -1.94192, 1: -37.2104, 2: 55.5301, 3: 103.7
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -2.27673, 1: -37.1492, 2: 55.4701, 3: 99.4
received socket type 1, 0: -2.53983, 1: -37.0982, 2: 55.3201, 3: 97.9
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -2.9013, 1: -37.0253, 2: 54.9801, 3: 96.5
received socket type 1, 0: -3.17403, 1: -36.9681, 2: 54.6208, 3: 96.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -3.53766, 1: -36.8896, 2: 54.0035, 3: 96.1
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -3.9013, 1: -36.809, 2: 54.1049, 3: 96
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -4.17403, 1: -36.7476, 2: 54.1163, 3: 96
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -4.53766, 1: -36.6647, 2: 54.0377, 3: 95.9
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -4.81039, 1: -36.6021, 2: 54.0192, 3: 95
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -5.17403, 1: -36.5178, 2: 54.0049, 3: 93
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -5.53766, 1: -36.4317, 2: 54.0022, 3: 90.9
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -5.81039, 1: -36.3632, 2: 54.0022, 3: 89.1
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -6.17403, 1: -36.2617, 2: 54.0022, 3: 87
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -6.44675, 1: -36.1757, 2: 54.0022, 3: 85.5
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -6.81006, 1: -36.0461, 2: 54.0022, 3: 84.6
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -7.17139, 1: -35.9005, 2: 54.0022, 3: 83.7
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -7.43923, 1: -35.7798, 2: 54.0022, 3: 83
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -7.78912, 1: -35.6011, 2: 54.0022, 3: 82.9
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -8.04636, 1: -35.4557, 2: 54.0022, 3: 83.1
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -8.37789, 1: -35.2546, 2: 54.0022, 3: 83.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -8.70574, 1: -35.0428, 2: 54.0022, 3: 83.3
received socket type 1, 0: -8.95021, 1: -34.8782, 2: 54.0022, 3: 83.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -9.27419, 1: -34.6526, 2: 54.0022, 3: 83.6
received socket type 1, 0: -9.51548, 1: -34.4793, 2: 54.0022, 3: 83.9
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -9.83519, 1: -34.2436, 2: 54.0022, 3: 84.1
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -10.1532, 1: -34.0042, 2: 54.0022, 3: 84.2
received socket type 1, 0: -10.391, 1: -33.8231, 2: 54.0022, 3: 84.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -10.7074, 1: -33.58, 2: 54.0022, 3: 84.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -10.9443, 1: -33.397, 2: 54.0022, 3: 84.2
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -11.2597, 1: -33.1518, 2: 54.0022, 3: 84.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -11.5792, 1: -32.9109, 2: 54.0022, 3: 84.4
received socket type 1, 0: -11.8503, 1: -32.7738, 2: 54.0022, 3: 84.5
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -12.2139, 1: -32.6299, 2: 54.0022, 3: 86.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -12.4866, 1: -32.5314, 2: 54.0022, 3: 87.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -12.8503, 1: -32.3968, 2: 54.0022, 3: 89.1
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -13.2037, 1: -32.3196, 2: 54.0022, 3: 90.4
received socket type 1, 0: -13.4074, 1: -32.2852, 2: 54.0022, 3: 90.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -13.6024, 1: -32.2522, 2: 54.0022, 3: 90.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -13.707, 1: -32.2346, 2: 54.0022, 3: 90.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -13.807, 1: -32.2176, 2: 54.0022, 3: 90.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -13.8754, 1: -32.2061, 2: 54.0022, 3: 112.9
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -13.912, 1: -32.1999, 2: 54.0022, 3: 113.9
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -13.9471, 1: -32.194, 2: 54.0022, 3: 116.6
received socket type 1, 0: -13.9659, 1: -32.1908, 2: 54.0022, 3: 119.1
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -13.9839, 1: -32.1877, 2: 54.0022, 3: 121.1
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -13.9962, 1: -32.1857, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0028, 1: -32.1845, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.4
received socket type 1, 0: -14.0091, 1: -32.1835, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0134, 1: -32.1828, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.5
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.5
received socket type 1, 0: -14.0157, 1: -32.1824, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.5
received socket type 1, 0: -14.0179, 1: -32.182, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 72.7
received socket type 1, 0: -14.0191, 1: -32.1818, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 73.9
received socket type 1, 0: -14.0203, 1: -32.1816, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 76.1
received socket type 1, 0: -14.021, 1: -32.1815, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 77
received socket type 1, 0: -14.0214, 1: -32.1814, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 77.1
received socket type 1, 0: -14.0218, 1: -32.1813, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 77.1
received socket type 1, 0: -14.0221, 1: -32.1813, 2: 54.0022, 3: 121.3
1 sending socket type 3, 0: -34.4325, 1: -26.4089, 2: 12.001, 3: 0.0150527
2 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 77.1
received socket type 1, 0: -14.0223, 1: -32.1813, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0224, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 77.1
received socket type 1, 0: -14.0225, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 77.1
received socket type 1, 0: -14.0225, 1: -32.1812, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0226, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 77.1
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 77.1
received socket type 1, 0: -14.0226, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 77.1
received socket type 1, 0: -14.0226, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 77.1
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 77.2
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 79.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -34.4284, 1: -26.6385, 2: 12.001, 3: 88.5
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
press 3 key
1 sending socket type 1, 0: -34.4794, 1: -26.6381, 2: 12.001, 3: 104.4
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -34.5834, 1: -26.668, 2: 12.001, 3: 123.5
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
press 0 key
1 sending socket type 1, 0: -34.7594, 1: -26.7885, 2: 12.001, 3: 135.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
press 3 key
1 sending socket type 1, 0: -34.9461, 1: -26.9162, 2: 12.001, 3: 137.5
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
press 3 key
1 sending socket type 1, 0: -35.2428, 1: -27.0883, 2: 12.001, 3: 139.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -35.5794, 1: -27.3249, 2: 12.001, 3: 141.8
1 sending socket type 1, 0: -35.8458, 1: -27.5369, 2: 12.001, 3: 141.9
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
press 3 key
1 sending socket type 1, 0: -36.2091, 1: -27.8275, 2: 12.001, 3: 142
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -36.5728, 1: -28.0339, 2: 12.001, 3: 142.1
press 3 key
1 sending socket type 1, 0: -36.8455, 1: -28.1718, 2: 12.001, 3: 142.1
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -37.2091, 1: -28.4174, 2: 12.001, 3: 142.1
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -37.4819, 1: -28.6364, 2: 12.001, 3: 137.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -37.8411, 1: -28.9668, 2: 12.001, 3: 112.8
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -38.1032, 1: -29.2383, 2: 12.001, 3: 101.8
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -38.4444, 1: -29.6019, 2: 12.001, 3: 98
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -38.7794, 1: -29.9656, 2: 12.001, 3: 97.8
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -39.0279, 1: -30.2383, 2: 12.001, 3: 97.5
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
press 3 key
1 sending socket type 1, 0: -39.36, 1: -30.5825, 2: 12.001, 3: 97.5
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
press 1 key
1 sending socket type 1, 0: -39.6207, 1: -30.7772, 2: 12.001, 3: 97.5
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
press 0 key
1 sending socket type 1, 0: -39.9795, 1: -30.8892, 2: 12.001, 3: 100.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -40.2945, 1: -30.8595, 2: 12.001, 3: 102.9
press 1 key
1 sending socket type 1, 0: -40.5132, 1: -30.774, 2: 12.001, 3: 103.1
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -40.7403, 1: -30.6682, 2: 12.001, 3: 106.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -40.8619, 1: -30.6115, 2: 12.001, 3: 118.2
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -40.9784, 1: -30.5572, 2: 12.001, 3: 133
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -41.058, 1: -30.5201, 2: 12.001, 3: 138.6
1 sending socket type 1, 0: -41.1006, 1: -30.5002, 2: 12.001, 3: 141.2
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -41.1415, 1: -30.4812, 2: 12.001, 3: 143.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -41.1634, 1: -30.471, 2: 12.001, 3: 143.9
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -41.1843, 1: -30.4612, 2: 12.001, 3: 144.6
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -41.1986, 1: -30.4546, 2: 12.001, 3: 145.4
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -41.2063, 1: -30.451, 2: 12.001, 3: 146.4
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -41.2136, 1: -30.4476, 2: 12.001, 3: 146.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -41.2187, 1: -30.4452, 2: 12.001, 3: 146.7
2 sending socket type 2, 0: -41.2196, 1: -30.4448, 2: 12.001, 3: 0.544326
2 sending socket type 1, 0: -41.2213, 1: -30.444, 2: 12.001, 3: 146.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -41.2253, 1: -30.4422, 2: 12.001, 3: 146.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -41.2266, 1: -30.4415, 2: 12.001, 3: 146.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -41.2273, 1: -30.4412, 2: 12.001, 3: 146.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -41.228, 1: -30.4409, 2: 12.001, 3: 146.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -41.2285, 1: -30.4407, 2: 12.001, 3: 146.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -41.2287, 1: -30.4406, 2: 12.001, 3: 146.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -41.229, 1: -30.4404, 2: 12.001, 3: 146.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -41.2291, 1: -30.4404, 2: 12.001, 3: 146.7
1 sending socket type 1, 0: -41.2292, 1: -30.4403, 2: 12.001, 3: 146.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -41.2293, 1: -30.4403, 2: 12.001, 3: 146.7
update hook
distance: 35.1448
1 sending socket type 1, 0: -41.2011, 1: -30.4365, 2: 12.0133, 3: 146.6
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -41.1585, 1: -30.4307, 2: 12.0001, 3: 146.6
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -41.1357, 1: -30.4276, 2: 12.0001, 3: 146.4
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
press 2 key
press 1 key
1 sending socket type 1, 0: -41.0165, 1: -30.3916, 2: 12.0001, 3: 146.2
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -40.7215, 1: -30.1211, 2: 12.0001, 3: 146.2
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -40.4223, 1: -29.7791, 2: 12.0001, 3: 146.1
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -39.9506, 1: -29.1922, 2: 12.0001, 3: 145.9
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -39.5576, 1: -28.6801, 2: 12.0001, 3: 145.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
press 4 key
1 sending socket type 1, 0: -38.9976, 1: -27.9533, 2: 12.0001, 3: 145.6
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -38.3359, 1: -27.226, 2: 12.066, 3: 145.4
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -37.7904, 1: -26.6805, 2: 12.2213, 3: 145
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -37.0632, 1: -25.9533, 2: 12.5699, 3: 143.5
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -36.3359, 1: -25.226, 2: 13.0826, 3: 142.6
1 sending socket type 1, 0: -35.7904, 1: -24.6805, 2: 13.5758, 3: 142.6
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -35.0632, 1: -23.9533, 2: 14.3792, 3: 142.6
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -34.5177, 1: -23.4078, 2: 15.0911, 3: 142.6
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -33.7904, 1: -22.6805, 2: 16.1854, 3: 143.1
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -33.245, 1: -22.1351, 2: 17.114, 3: 143
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -32.5177, 1: -21.4114, 2: 18.4935, 3: 143.7
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -31.7904, 1: -20.7054, 2: 20.0301, 3: 144.3
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -31.245, 1: -20.1972, 2: 21.2817, 3: 144.4
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -30.5177, 1: -19.5597, 2: 23.0756, 3: 144.4
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -29.9722, 1: -19.1161, 2: 24.5081, 3: 144.4
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -29.245, 1: -18.5752, 2: 26.522, 3: 144.4
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -28.5177, 1: -18.1007, 2: 28.6356, 3: 144.4
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -27.9722, 1: -17.7982, 2: 30.2702, 3: 144.4
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -27.245, 1: -17.4781, 2: 32.4881, 3: 144.4
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -26.6995, 1: -17.3027, 2: 34.157, 3: 144.2
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -25.9722, 1: -17.1555, 2: 36.3495, 3: 143.9
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -25.245, 1: -17.1054, 2: 38.4505, 3: 143.5
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -24.6995, 1: -17.127, 2: 39.926, 3: 142.9
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -23.9722, 1: -17.2264, 2: 41.7082, 3: 142
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
1 sending socket type 1, 0: -23.4268, 1: -17.3475, 2: 42.8746, 3: 141.4
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
press 4 key
1 sending socket type 1, 0: -22.6995, 1: -17.5555, 2: 44.1672, 3: 138.8
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
press 1 key
received socket type 1, 0: -14.0227, 1: -32.1812, 2: 54.0022, 3: 121.3
